Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Weighted Score,Composite Index,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
Italy,0.8327082993640958,0.882,0.7968932038834948,0.711,0.842,0.8162857907801024,0.7712820563000263,Western Europe,50,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823
Kosovo,0.6248165661177237,0.844,0.530679611650485,0.861,0.866,0.7046648727479383,0.7250134783494825,Central and Eastern Europe,69,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831
Chile,0.7479210826675363,0.889,0.7289320388349512,0.792,0.823,0.7855093345089987,0.778015577358211,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363
Mexico,0.7048752649600522,0.804,0.5541747572815532,0.856,0.768,0.7160062688084039,0.7189241359751706,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074
Malta,0.8371107125387248,0.923,0.7794174757281547,0.886,0.729,0.8363875826936561,0.851766769988033,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752
Panama,0.7790640795695417,0.896,0.676504854368932,0.855,0.878,0.7980954374630955,0.8030460361183217,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434
Poland,0.803195825860101,0.925,0.6803495145631069,0.765,0.736,0.7843961263988071,0.7710809506251957,Central and Eastern Europe,60,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759
Nicaragua,0.5039947823251264,0.853,0.5483495145631068,0.877,0.625,0.6529358133383145,0.7064088079011389,Latin America and Caribbean,57,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815
Latvia,0.7896624816566117,0.937,0.5774757281553398,0.818,0.83,0.7743676765358185,0.7767587845046434,Central and Eastern Europe,89,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226
Bahrain,0.8558617316158487,0.844,0.555145631067961,0.944,0.737,0.7796449272517448,0.7933335874701617,Middle East and Northern Africa,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362
Guatemala,0.5851948475460621,0.812,0.441553398058252,0.856,0.837,0.6604468037783816,0.6802866928971456,Latin America and Caribbean,43,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489
Kazakhstan,0.7563998043371923,0.931,0.554252427184466,0.853,0.721,0.7517330480972741,0.7719175794819854,Central and Eastern Europe,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827
Serbia,0.7055274743192562,0.873,0.6041941747572812,0.845,0.816,0.7456567859850972,0.7567260779191429,Central and Eastern Europe,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231
Cyprus,0.8289580955486712,0.826,0.8260970873786406,0.724,0.86,0.8150117005092615,0.7629961286449343,Western Europe,67,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638
Japan,0.8297733572476763,0.894,0.886174757281553,0.799,0.64,0.8331256964946911,0.8229438054818581,Eastern Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705
Croatia,0.7849339638023803,0.917,0.676504854368932,0.757,0.925,0.7940564027329472,0.7728965582712601,Central and Eastern Europe,62,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444
Brazil,0.6611772378933639,0.836,0.5521941747572812,0.801,0.738,0.6975517150573295,0.6986411434823353,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574
